desc,url,github,jobs,languages
500px,https://developers.500px.com/,500px,https://about.500px.com/jobs/," css java javascript lua objective-c python ruby shell"
99designs,https://99designs.co.uk/tech-blog,99designs,https://99designs.co.uk/about/jobs,"go javascript php python ruby"
adjust,http://big-elephants.com/,adjust,https://www.adjust.com/jobs/#location=all&category=tech," c# elixir go java objective-c r ruby"
adroll,http://tech.adroll.com/blog/,adroll,https://www.adroll.com/about/careers,"d erlang go java javascript python shell"
adzerk,https://www.adzerk.com/tech/,adzerk,https://stackoverflow.com/jobs/companies/adzerk," c# c++ clojure html java javascript python ruby swift"
airbnb,http://airbnb.io/,airbnb,https://www.airbnb.com/careers/departments/engineering," java javascript python ruby"
aircto,https://engineering.aircto.com/,aircto,https://angel.co/launchyard/jobs,"go javascript"
allegro,http://allegro.tech/,allegro,http://kariera.allegro.pl/,"go groovy java javascript php python scala"
alphasights,http://engineering-blog.alphasights.com/,alphasights,https://www.alphasights.com/careers," css javascript ruby shell"
amplitude,https://amplitude.com/blog/category/engineering/,amplitude,https://amplitude.com/careers," html java javascript objective-c"
aol,https://engineering.aol.com/,aol,http://www.aol-careers.com/,"c java javascript php python"
appcues,https://engineering.appcues.com/,appcues,https://stackoverflow.com/jobs/companies/appcues," elixir javascript ruby"
appfolio,http://engineering.appfolio.com/,appfolio,http://www.appfolioinc.com/jobs-openings,"javascript objective-c python ruby"
appnexus,http://techblog.appnexus.com/,appnexus,http://www.appnexus.com/en/company/careers," java javascript objective-c python"
artsy,https://artsy.github.io/,artsy,https://www.artsy.net/jobs," css coffeescript elixir javascript objective-c ruby swift"
asana,https://blog.asana.com/category/eng,asana,https://asana.com/jobs#openPositionsList,"erlang java javascript php python ruby typescript"
"atlassian dev",https://developer.atlassian.com/index.html,atlassian,https://www.atlassian.com/company/careers/engineering#browseJobSection,"go java javascript puppet ruby"
audiense,http://engineering.audiense.com/,audienseco,https://www.audiense.com/about-us/careers/,"css coffeescript javascript perl python"
aweber,http://engineering.aweber.com/,aweber,http://www.aweber.jobs/apply,"c erlang groff java javascript objective-c php python ruby"
babbel,http://bytes.babbel.com/,babbel,http://jobs.babbel.com/en/,"go javascript python ruby"
badoo,https://techblog.badoo.com/,badoo,https://corp.badoo.com/jobs/,"go java javascript lua objective-c php ruby swift"
"bazaar voice",http://blog.developer.bazaarvoice.com/,bazaarvoice,http://www.bazaarvoice.com/careers/,"go java javascript objective-c python ruby shell"
bellycard,https://tech.bellycard.com/,bellycard,https://tech.bellycard.com/join/,"html java javascript objective-c python ruby shell swift"
benchling,http://benchling.engineering/,benchling,https://benchling.com/careers,"c coffeescript go javascript php python ruby"
