name,url,runtime,use
xodus,https://github.com/JetBrains/xodus,Java,database
ghostinspector,https://ghostinspector.com,Hosted,testing
siege,https://github.com/JoeDog/siege,Binary,testing
tsung,http://tsung.erlang-projects.org/,Binary,testing
nightmare,https://www.npmjs.com/package/nightmare,NodeJS,testing
infer,http://fbinfer.com/,Binary,testing
hugo,http://gohugo.io/,Binary,website
cyclid,http://cyclid.io/,Hosted,continuous-integration
figureitout,http://www.fioapp.co/,Hosted,productivity
observatory,https://observatory.mozilla.org/,Hosted,security
catberry,http://catberry.org/,NodeJS,framework
nemo,http://nemo.js.org,NodeJS,testing
cheerio,https://cheerio.js.org/,NodeJS,testing
apis,http://docs.apis.is/,Hosted,api
buck,https://buckbuild.com/,Binary,build
bazel,https://bazel.io/,Binary,build
pants,http://www.pantsbuild.org/,Binary,build
textures,http://riccardoscalco.github.io/textures/,Github,dataviz
git-fork,https://git-fork.com/,Binary,git
git-kraken,https://www.gitkraken.com/,Binary,git
tunnel bear,https://www.tunnelbear.com/,Extension,vpn
insomnia,https://insomnia.rest/,Binary,testing
percy,https://percy.io/,Hosted,testing
minio,https://minio.io/,Binary,storage
hugo,https://gohugo.io/,Binary,document
stagemonitor,http://www.stagemonitor.org/,Java,performance
mdp,https://github.com/visit1985/mdp,Binary,markdown
gatsby,https://github.com/gatsbyjs/gatsby,NodeJS,website
waffle,https://waffle.io/,Hosted,projects
clubhouse,https://clubhouse.io/,Hosted,projects
teleport,http://www.abyssoft.com/software/teleport/,Binary,desktop
mitmproxy,https://mitmproxy.org/,Binary,network
thimble,https://thimble.mozilla.org/en-US/,Hosted,website
httpstat,https://github.com/reorx/httpstat,Binary,performance
now,https://zeit.co/now,NodeJS,website
figma,https://www.figma.com/,Binary,design
requestmap,http://requestmap.webperf.tools/,web,performance
csvkit,https://csvkit.readthedocs.io/en/540/index.html,binary,database
dokku,https://github.com/dokku,hosted,paas
packetbeat,https://www.elastic.co/downloads/beats/packetbeat,binary,dataviz
craftcms,https://craftcms.com/,binary,database
skyliner,https://www.skyliner.io,hosted,cloud
